crop_name,market_name,state,price_date,min_price_per_kg,max_price_per_kg,modal_price_per_kg
rice,Synthetic Reference Market,All India,2026-01-03,22.61,25.24,24.13
rice,Synthetic Reference Market,All India,2026-01-10,22.4,26.98,24.77
rice,Synthetic Reference Market,All India,2026-01-17,23.37,25.92,24.8
rice,Synthetic Reference Market,All India,2026-01-24,23.47,27.14,24.74
rice,Synthetic Reference Market,All India,2026-01-31,24.08,27.25,25.11
rice,Synthetic Reference Market,All India,2026-02-07,24.37,27.63,25.74
rice,Synthetic Reference Market,All India,2026-02-14,24.31,28.74,26.26
rice,Synthetic Reference Market,All India,2026-02-21,23.97,28.43,26.62
rice,Synthetic Reference Market,All India,2026-02-28,23.86,27.65,26.41
rice,Synthetic Reference Market,All India,2026-03-07,25.7,29.24,27.2
rice,Synthetic Reference Market,All India,2026-03-14,25.71,28.52,26.84
rice,Synthetic Reference Market,All India,2026-03-21,25.24,30.34,27.64
rice,Synthetic Reference Market,All India,2026-03-28,24.52,29.89,27.22
rice,Synthetic Reference Market,All India,2026-04-04,24.9,29.54,27.53
rice,Synthetic Reference Market,All India,2026-04-11,26.27,29.38,27.42
rice,Synthetic Reference Market,All India,2026-04-18,25.97,30.18,28.01
rice,Synthetic Reference Market,All India,2026-04-25,25.89,30.29,27.69
rice,Synthetic Reference Market,All India,2026-05-02,25.76,29.54,28.1
rice,Synthetic Reference Market,All India,2026-05-09,24.66,28.2,26.58
rice,Synthetic Reference Market,All India,2026-05-16,25.29,29.0,26.39
rice,Synthetic Reference Market,All India,2026-05-23,25.01,28.47,26.55
rice,Synthetic Reference Market,All India,2026-05-30,25.07,27.97,26.64
rice,Synthetic Reference Market,All India,2026-06-06,24.5,27.96,25.66
rice,Synthetic Reference Market,All India,2026-06-13,23.92,27.32,25.02
rice,Synthetic Reference Market,All India,2026-06-20,23.57,27.2,26.11
rice,Synthetic Reference Market,All India,2026-06-27,24.45,26.73,25.48
rice,Synthetic Reference Market,All India,2026-07-04,22.83,25.94,24.41
rice,Synthetic Reference Market,All India,2026-07-11,22.41,25.6,24.23
wheat,Synthetic Reference Market,All India,2023-07-15,22.17,26.79,24.54
wheat,Synthetic Reference Market,All India,2023-07-22,23.08,26.75,24.39
wheat,Synthetic Reference Market,All India,2023-07-29,23.5,26.07,24.71
wheat,Synthetic Reference Market,All India,2023-08-05,23.53,26.46,24.58
wheat,Synthetic Reference Market,All India,2023-08-12,23.02,27.22,25.19
wheat,Synthetic Reference Market,All India,2023-08-19,22.59,26.91,24.91
wheat,Synthetic Reference Market,All India,2023-08-26,24.38,28.44,26.18
wheat,Synthetic Reference Market,All India,2023-09-02,24.57,28.27,26.33
wheat,Synthetic Reference Market,All India,2023-09-09,24.83,27.74,26.07
wheat,Synthetic Reference Market,All India,2023-09-16,24.88,27.8,26.41
wheat,Synthetic Reference Market,All India,2023-09-23,24.3,27.86,26.76
wheat,Synthetic Reference Market,All India,2023-09-30,24.65,28.46,26.69
wheat,Synthetic Reference Market,All India,2023-10-07,24.48,27.21,25.65
wheat,Synthetic Reference Market,All India,2023-10-14,24.8,28.93,26.85
wheat,Synthetic Reference Market,All India,2023-10-21,24.99,28.8,26.26
wheat,Synthetic Reference Market,All India,2023-10-28,23.65,28.02,25.5
wheat,Synthetic Reference Market,All India,2023-11-04,24.16,27.54,25.99
wheat,Synthetic Reference Market,All India,2023-11-11,22.95,26.58,25.37
wheat,Synthetic Reference Market,All India,2023-11-18,23.53,27.2,25.92
wheat,Synthetic Reference Market,All India,2023-11-25,23.32,27.16,25.6
wheat,Synthetic Reference Market,All India,2023-12-02,23.74,26.59,24.89
wheat,Synthetic Reference Market,All India,2023-12-09,22.44,25.67,24.62
wheat,Synthetic Reference Market,All India,2023-12-16,22.68,26.34,24.92
wheat,Synthetic Reference Market,All India,2023-12-23,22.28,25.94,24.43
wheat,Synthetic Reference Market,All India,2023-12-30,22.14,25.74,23.8
wheat,Synthetic Reference Market,All India,2024-01-06,22.53,25.91,23.66
wheat,Synthetic Reference Market,All India,2024-01-13,21.44,25.07,23.73
wheat,Synthetic Reference Market,All India,2024-01-20,21.52,24.86,23.62
wheat,Synthetic Reference Market,All India,2024-01-27,21.6,25.04,23.42
wheat,Synthetic Reference Market,All India,2024-02-03,20.72,24.23,22.33
wheat,Synthetic Reference Market,All India,2024-02-10,20.93,24.48,23.2
wheat,Synthetic Reference Market,All India,2024-02-17,21.14,24.35,22.72
wheat,Synthetic Reference Market,All India,2024-02-24,20.35,23.95,22.45
wheat,Synthetic Reference Market,All India,2024-03-02,19.79,22.95,21.6
wheat,Synthetic Reference Market,All India,2024-03-09,19.99,23.49,22.18
wheat,Synthetic Reference Market,All India,2024-03-16,19.77,23.83,21.79
wheat,Synthetic Reference Market,All India,2024-03-23,20.2,23.34,21.59
wheat,Synthetic Reference Market,All India,2024-03-30,19.91,23.59,22.0
wheat,Synthetic Reference Market,All India,2024-04-06,21.13,24.51,22.59
wheat,Synthetic Reference Market,All India,2024-04-13,19.92,23.07,21.73
wheat,Synthetic Reference Market,All India,2024-04-20,20.8,23.8,22.15
wheat,Synthetic Reference Market,All India,2024-04-27,19.79,22.92,21.84
wheat,Synthetic Reference Market,All India,2024-05-04,20.82,23.89,22.76
wheat,Synthetic Reference Market,All India,2024-05-11,20.51,24.64,22.53
wheat,Synthetic Reference Market,All India,2024-05-18,20.51,24.28,22.66
wheat,Synthetic Reference Market,All India,2024-05-25,21.17,24.84,23.35
wheat,Synthetic Reference Market,All India,2024-06-01,22.53,25.67,23.51
wheat,Synthetic Reference Market,All India,2024-06-08,21.49,25.5,23.61
wheat,Synthetic Reference Market,All India,2024-06-15,23.34,26.21,24.42
wheat,Synthetic Reference Market,All India,2024-06-22,22.55,25.06,23.83
wheat,Synthetic Reference Market,All India,2024-06-29,22.98,26.63,24.99
wheat,Synthetic Reference Market,All India,2024-07-06,22.22,26.38,24.51
wheat,Synthetic Reference Market,All India,2024-07-13,23.35,27.36,25.46
wheat,Synthetic Reference Market,All India,2024-07-20,23.98,26.84,25.73
wheat,Synthetic Reference Market,All India,2024-07-27,23.56,26.84,25.61
wheat,Synthetic Reference Market,All India,2024-08-03,24.46,28.89,26.73
wheat,Synthetic Reference Market,All India,2024-08-10,24.97,28.4,26.4
wheat,Synthetic Reference Market,All India,2024-08-17,23.89,28.42,25.94
wheat,Synthetic Reference Market,All India,2024-08-24,25.44,29.41,26.79
wheat,Synthetic Reference Market,All India,2024-08-31,26.22,28.81,27.41
wheat,Synthetic Reference Market,All India,2024-09-07,24.59,29.5,27.21
wheat,Synthetic Reference Market,All India,2024-09-14,25.43,30.45,28.0
wheat,Synthetic Reference Market,All India,2024-09-21,25.3,29.13,27.74
wheat,Synthetic Reference Market,All India,2024-09-28,26.18,29.84,27.85
wheat,Synthetic Reference Market,All India,2024-10-05,25.4,30.12,27.56
wheat,Synthetic Reference Market,All India,2024-10-12,26.08,29.92,28.15
wheat,Synthetic Reference Market,All India,2024-10-19,25.51,29.09,27.5
wheat,Synthetic Reference Market,All India,2024-10-26,25.2,30.16,27.57
wheat,Synthetic Reference Market,All India,2024-11-02,25.91,30.11,28.07
wheat,Synthetic Reference Market,All India,2024-11-09,24.83,30.02,27.38
wheat,Synthetic Reference Market,All India,2024-11-16,25.69,29.05,27.4
wheat,Synthetic Reference Market,All India,2024-11-23,25.34,28.98,27.03
wheat,Synthetic Reference Market,All India,2024-11-30,25.3,28.84,26.53
wheat,Synthetic Reference Market,All India,2024-12-07,24.03,28.49,26.27
wheat,Synthetic Reference Market,All India,2024-12-14,23.33,27.78,25.86
wheat,Synthetic Reference Market,All India,2024-12-21,24.02,28.42,26.09
wheat,Synthetic Reference Market,All India,2024-12-28,23.36,28.11,25.77
wheat,Synthetic Reference Market,All India,2025-01-04,23.99,26.55,25.31
wheat,Synthetic Reference Market,All India,2025-01-11,22.64,26.84,24.77
wheat,Synthetic Reference Market,All India,2025-01-18,23.73,27.03,25.2
wheat,Synthetic Reference Market,All India,2025-01-25,23.0,26.66,25.13
wheat,Synthetic Reference Market,All India,2025-02-01,22.0,26.01,23.71
wheat,Synthetic Reference Market,All India,2025-02-08,22.48,26.58,24.72
wheat,Synthetic Reference Market,All India,2025-02-15,22.42,27.18,24.88
wheat,Synthetic Reference Market,All India,2025-02-22,22.79,25.6,23.84
wheat,Synthetic Reference Market,All India,2025-03-01,22.46,25.0,23.83
wheat,Synthetic Reference Market,All India,2025-03-08,22.08,25.43,23.62
wheat,Synthetic Reference Market,All India,2025-03-15,23.0,26.36,24.06
wheat,Synthetic Reference Market,All India,2025-03-22,21.53,24.31,23.23
wheat,Synthetic Reference Market,All India,2025-03-29,21.92,24.93,23.43
wheat,Synthetic Reference Market,All India,2025-04-05,21.54,25.28,23.85
wheat,Synthetic Reference Market,All India,2025-04-12,21.56,25.33,23.12
wheat,Synthetic Reference Market,All India,2025-04-19,21.16,24.38,22.98
wheat,Synthetic Reference Market,All India,2025-04-26,21.57,25.2,23.61
wheat,Synthetic Reference Market,All India,2025-05-03,22.29,25.77,24.53
wheat,Synthetic Reference Market,All India,2025-05-10,22.05,24.52,23.09
wheat,Synthetic Reference Market,All India,2025-05-17,22.73,26.21,24.31
wheat,Synthetic Reference Market,All India,2025-05-24,22.16,26.93,24.48
wheat,Synthetic Reference Market,All India,2025-05-31,22.74,26.3,24.44
wheat,Synthetic Reference Market,All India,2025-06-07,22.96,27.52,25.16
wheat,Synthetic Reference Market,All India,2025-06-14,23.22,26.76,25.45
wheat,Synthetic Reference Market,All India,2025-06-21,24.07,26.9,25.77
wheat,Synthetic Reference Market,All India,2025-06-28,24.52,27.64,25.9
wheat,Synthetic Reference Market,All India,2025-07-05,23.51,27.31,25.44
wheat,Synthetic Reference Market,All India,2025-07-12,24.71,28.55,27.17
wheat,Synthetic Reference Market,All India,2025-07-19,24.92,28.27,26.55
wheat,Synthetic Reference Market,All India,2025-07-26,24.43,28.44,27.1
wheat,Synthetic Reference Market,All India,2025-08-02,25.28,29.53,28.03
wheat,Synthetic Reference Market,All India,2025-08-09,25.99,30.72,28.44
wheat,Synthetic Reference Market,All India,2025-08-16,26.31,29.54,28.01
wheat,Synthetic Reference Market,All India,2025-08-23,25.93,30.18,28.62
wheat,Synthetic Reference Market,All India,2025-08-30,27.45,30.75,28.9
wheat,Synthetic Reference Market,All India,2025-09-06,27.24,30.49,28.97
wheat,Synthetic Reference Market,All India,2025-09-13,26.27,30.48,29.16
wheat,Synthetic Reference Market,All India,2025-09-20,26.39,30.13,28.92
wheat,Synthetic Reference Market,All India,2025-09-27,27.04,31.96,29.23
wheat,Synthetic Reference Market,All India,2025-10-04,27.2,30.4,28.66
wheat,Synthetic Reference Market,All India,2025-10-11,27.0,30.48,28.86
wheat,Synthetic Reference Market,All India,2025-10-18,26.77,30.4,28.55
wheat,Synthetic Reference Market,All India,2025-10-25,25.9,30.96,28.22
wheat,Synthetic Reference Market,All India,2025-11-01,27.93,30.96,29.53
wheat,Synthetic Reference Market,All India,2025-11-08,27.4,31.26,28.74
wheat,Synthetic Reference Market,All India,2025-11-15,26.83,30.19,28.99
wheat,Synthetic Reference Market,All India,2025-11-22,26.73,30.08,28.5
wheat,Synthetic Reference Market,All India,2025-11-29,25.0,30.0,27.52
wheat,Synthetic Reference Market,All India,2025-12-06,25.42,29.5,27.93
wheat,Synthetic Reference Market,All India,2025-12-13,25.05,30.44,27.8
wheat,Synthetic Reference Market,All India,2025-12-20,25.18,29.49,27.48
wheat,Synthetic Reference Market,All India,2025-12-27,25.14,29.17,26.77
wheat,Synthetic Reference Market,All India,2026-01-03,25.23,29.11,26.96
wheat,Synthetic Reference Market,All India,2026-01-10,24.54,29.51,26.96
wheat,Synthetic Reference Market,All India,2026-01-17,23.87,26.73,25.63
wheat,Synthetic Reference Market,All India,2026-01-24,23.28,27.74,25.59
wheat,Synthetic Reference Market,All India,2026-01-31,23.69,27.54,25.89
wheat,Synthetic Reference Market,All India,2026-02-07,23.23,26.87,25.32
wheat,Synthetic Reference Market,All India,2026-02-14,23.38,26.75,25.04
wheat,Synthetic Reference Market,All India,2026-02-21,24.08,28.09,25.62
wheat,Synthetic Reference Market,All India,2026-02-28,22.33,26.14,24.76
wheat,Synthetic Reference Market,All India,2026-03-07,23.6,26.31,25.23
wheat,Synthetic Reference Market,All India,2026-03-14,23.78,28.07,25.84
wheat,Synthetic Reference Market,All India,2026-03-21,22.48,25.9,24.8
wheat,Synthetic Reference Market,All India,2026-03-28,23.35,26.45,24.81
wheat,Synthetic Reference Market,All India,2026-04-04,23.33,27.78,25.51
wheat,Synthetic Reference Market,All India,2026-04-11,23.04,27.03,25.14
wheat,Synthetic Reference Market,All India,2026-04-18,23.37,26.52,25.36
wheat,Synthetic Reference Market,All India,2026-04-25,22.87,26.92,25.1
wheat,Synthetic Reference Market,All India,2026-05-02,24.31,27.67,25.52
wheat,Synthetic Reference Market,All India,2026-05-09,24.19,28.03,25.69
wheat,Synthetic Reference Market,All India,2026-05-16,23.89,27.92,26.11
wheat,Synthetic Reference Market,All India,2026-05-23,23.79,28.05,26.12
wheat,Synthetic Reference Market,All India,2026-05-30,25.12,27.41,26.31
wheat,Synthetic Reference Market,All India,2026-06-06,24.95,28.68,26.12
wheat,Synthetic Reference Market,All India,2026-06-13,26.04,29.09,27.22
wheat,Synthetic Reference Market,All India,2026-06-20,24.96,29.59,27.16
wheat,Synthetic Reference Market,All India,2026-06-27,24.79,29.56,27.48
wheat,Synthetic Reference Market,All India,2026-07-04,25.0,29.9,27.64
wheat,Synthetic Reference Market,All India,2026-07-11,25.78,30.35,28.01
maize,Synthetic Reference Market,All India,2023-07-15,16.77,19.56,17.98
maize,Synthetic Reference Market,All India,2023-07-22,16.27,19.07,17.7
maize,Synthetic Reference Market,All India,2023-07-29,16.19,18.45,17.71
maize,Synthetic Reference Market,All India,2023-08-05,16.87,18.44,17.71
maize,Synthetic Reference Market,All India,2023-08-12,16.54,18.82,17.3
maize,Synthetic Reference Market,All India,2023-08-19,16.74,18.51,17.44
maize,Synthetic Reference Market,All India,2023-08-26,15.64,18.15,16.84
maize,Synthetic Reference Market,All India,2023-09-02,16.49,19.03,17.31
maize,Synthetic Reference Market,All India,2023-09-09,15.43,18.08,16.68
maize,Synthetic Reference Market,All India,2023-09-16,15.72,17.99,17.19
maize,Synthetic Reference Market,All India,2023-09-23,14.98,17.21,16.33
maize,Synthetic Reference Market,All India,2023-09-30,14.85,17.13,16.46
maize,Synthetic Reference Market,All India,2023-10-07,15.47,18.11,16.76
maize,Synthetic Reference Market,All India,2023-10-14,15.43,18.54,16.9
maize,Synthetic Reference Market,All India,2023-10-21,16.47,18.38,17.21
maize,Synthetic Reference Market,All India,2023-10-28,15.9,17.82,16.97
maize,Synthetic Reference Market,All India,2023-11-04,16.13,18.45,17.23
maize,Synthetic Reference Market,All India,2023-11-11,15.99,18.38,17.49
maize,Synthetic Reference Market,All India,2023-11-18,16.42,18.41,17.35
maize,Synthetic Reference Market,All India,2023-11-25,15.88,19.3,17.58
maize,Synthetic Reference Market,All India,2023-12-02,17.32,19.3,18.39
maize,Synthetic Reference Market,All India,2023-12-09,17.12,19.0,18.04
maize,Synthetic Reference Market,All India,2023-12-16,17.33,19.9,18.52
maize,Synthetic Reference Market,All India,2023-12-23,16.53,19.95,18.26
maize,Synthetic Reference Market,All India,2023-12-30,17.92,20.62,18.79
maize,Synthetic Reference Market,All India,2024-01-06,18.2,20.82,19.12
maize,Synthetic Reference Market,All India,2024-01-13,17.83,20.97,19.69
maize,Synthetic Reference Market,All India,2024-01-20,18.77,21.48,20.35
maize,Synthetic Reference Market,All India,2024-01-27,18.08,21.05,19.98
maize,Synthetic Reference Market,All India,2024-02-03,19.54,21.69,20.76
maize,Synthetic Reference Market,All India,2024-02-10,18.98,21.97,20.43
maize,Synthetic Reference Market,All India,2024-02-17,19.93,22.26,20.99
maize,Synthetic Reference Market,All India,2024-02-24,19.24,22.96,21.01
maize,Synthetic Reference Market,All India,2024-03-02,20.39,23.22,21.51
maize,Synthetic Reference Market,All India,2024-03-09,20.08,23.05,21.33
maize,Synthetic Reference Market,All India,2024-03-16,19.99,23.15,21.33
maize,Synthetic Reference Market,All India,2024-03-23,19.5,22.99,21.2
maize,Synthetic Reference Market,All India,2024-03-30,19.4,23.23,21.33
maize,Synthetic Reference Market,All India,2024-04-06,19.19,22.53,21.31
maize,Synthetic Reference Market,All India,2024-04-13,20.3,23.81,21.67
maize,Synthetic Reference Market,All India,2024-04-20,19.54,22.34,20.83
maize,Synthetic Reference Market,All India,2024-04-27,20.25,22.38,21.39
maize,Synthetic Reference Market,All India,2024-05-04,20.25,22.42,21.14
maize,Synthetic Reference Market,All India,2024-05-11,20.09,23.47,21.42
maize,Synthetic Reference Market,All India,2024-05-18,18.97,22.37,20.66
maize,Synthetic Reference Market,All India,2024-05-25,18.71,22.24,20.69
maize,Synthetic Reference Market,All India,2024-06-01,18.79,22.73,20.81
maize,Synthetic Reference Market,All India,2024-06-08,18.98,21.74,19.8
maize,Synthetic Reference Market,All India,2024-06-15,18.8,20.71,19.88
maize,Synthetic Reference Market,All India,2024-06-22,17.98,21.13,19.95
maize,Synthetic Reference Market,All India,2024-06-29,18.9,21.43,20.09
maize,Synthetic Reference Market,All India,2024-07-06,17.76,21.31,19.38
maize,Synthetic Reference Market,All India,2024-07-13,17.05,20.39,18.75
maize,Synthetic Reference Market,All India,2024-07-20,17.24,19.28,18.31
maize,Synthetic Reference Market,All India,2024-07-27,17.7,19.9,18.84
maize,Synthetic Reference Market,All India,2024-08-03,17.62,19.31,18.41
maize,Synthetic Reference Market,All India,2024-08-10,17.21,20.06,18.6
maize,Synthetic Reference Market,All India,2024-08-17,16.84,19.25,18.22
maize,Synthetic Reference Market,All India,2024-08-24,17.27,19.08,18.11
maize,Synthetic Reference Market,All India,2024-08-31,16.51,18.84,18.09
maize,Synthetic Reference Market,All India,2024-09-07,16.71,18.75,17.55
maize,Synthetic Reference Market,All India,2024-09-14,17.54,19.24,18.3
maize,Synthetic Reference Market,All India,2024-09-21,16.98,19.57,17.95
maize,Synthetic Reference Market,All India,2024-09-28,17.0,19.37,17.98
maize,Synthetic Reference Market,All India,2024-10-05,16.99,19.16,17.93
maize,Synthetic Reference Market,All India,2024-10-12,16.45,19.0,18.14
maize,Synthetic Reference Market,All India,2024-10-19,16.24,19.05,17.81
maize,Synthetic Reference Market,All India,2024-10-26,16.87,20.07,18.67
