N,P,K,temperature,humidity,ph,rainfall,label
30.38,51.78,48.09,27.22,69.54,6.48,597.73,groundnut
77.22,40.64,45.08,22.77,58.73,7.14,689.79,cotton
134.48,49.5,53.86,20.41,59.15,6.84,675.15,wheat
139.57,86.67,78.65,21.89,66.74,6.45,618.1,tomato
159.51,63.45,191.89,31.31,69.29,6.66,875.0,banana
36.71,55.97,48.03,24.97,67.15,6.66,616.31,groundnut
39.91,37.9,51.19,18.73,36.39,6.66,363.87,chickpea
141.5,81.85,123.1,20.01,72.22,5.67,525.86,potato
103.86,44.49,28.63,28.78,65.53,7.31,637.08,cotton
75.71,39.81,33.71,28.15,73.1,6.19,1616.49,rice
112.22,48.39,38.05,21.95,65.77,6.66,704.6,wheat
32.43,38.82,48.69,24.13,48.61,7.26,422.61,chickpea
123.19,46.92,51.1,18.67,60.15,7.3,588.84,wheat
153.47,72.72,122.18,19.87,70.27,6.24,496.16,potato
109.41,86.87,132.49,18.64,78.75,6.03,484.55,potato
121.71,73.83,103.54,18.93,61.65,6.53,457.24,potato
71.54,40.17,48.94,27.08,79.98,5.76,1684.72,rice
112.37,46.77,33.27,14.73,63.94,7.11,724.3,wheat
63.97,50.29,57.67,29.84,72.82,6.64,1343.49,turmeric
119.82,61.08,36.29,19.08,48.58,6.79,573.55,wheat
78.71,58.26,73.53,11.97,61.72,6.14,731.87,onion
112.79,69.61,70.13,23.67,63.31,6.41,517.21,tomato
34.2,47.84,40.03,25.13,67.9,6.46,628.29,soybean
36.13,37.87,34.47,26.1,53.45,6.15,643.01,groundnut
7.5,51.85,37.74,15.08,47.37,7.19,376.2,chickpea
82.83,59.21,90.0,28.72,83.58,7.19,1311.5,turmeric
76.25,42.62,50.51,30.87,75.55,6.06,1699.64,rice
132.93,54.39,36.2,9.68,43.96,6.23,837.85,wheat
106.61,79.2,118.89,22.4,74.71,5.1,561.97,potato
70.23,33.61,26.32,31.52,69.53,6.84,670.21,cotton
71.27,37.78,41.45,23.97,68.29,6.81,825.76,cotton
119.69,37.21,55.26,18.61,49.18,6.81,717.62,wheat
87.87,53.69,37.37,32.59,85.08,6.21,1979.36,rice
28.91,54.38,51.79,22.19,77.55,6.28,506.11,soybean
123.23,56.15,64.51,23.88,85.22,6.99,1733.76,sugarcane
48.38,36.13,49.27,29.92,64.11,6.53,865.89,mango
95.13,61.26,64.31,25.76,68.99,6.5,647.44,tomato
99.06,41.92,37.06,25.32,65.81,7.0,615.23,maize
143.2,66.69,182.7,29.85,82.87,6.71,1220.85,banana
33.36,61.68,48.26,15.79,49.75,6.5,425.21,chickpea
31.19,43.69,46.68,25.42,56.39,6.47,643.11,groundnut
81.54,40.55,41.6,25.9,55.07,6.28,629.85,maize
23.82,55.95,33.46,16.78,50.69,7.07,429.87,chickpea
31.18,46.57,40.25,27.74,61.17,6.58,532.92,groundnut
111.83,56.37,56.32,23.64,66.53,6.63,621.72,chilli
40.04,39.67,52.98,23.45,62.81,6.57,538.28,soybean
42.24,47.78,48.18,28.56,68.24,6.47,577.1,groundnut
91.27,42.98,35.58,39.44,82.87,6.0,1595.17,rice
20.52,52.45,50.21,20.19,46.59,7.19,322.78,chickpea
123.15,43.29,51.9,16.26,53.41,6.51,671.2,wheat
107.87,56.02,47.05,19.89,56.94,7.2,548.1,wheat
125.82,52.09,57.53,27.51,79.25,6.11,1655.58,sugarcane
109.0,67.3,54.97,31.4,68.41,6.68,1543.71,sugarcane
29.01,50.22,64.16,30.91,66.38,6.86,586.63,groundnut
141.81,58.45,80.18,29.2,81.11,6.21,1376.26,sugarcane
91.68,60.77,81.66,22.43,61.8,6.54,614.27,onion
71.52,52.94,77.78,25.82,66.01,6.81,607.2,onion
89.15,56.77,58.45,22.1,68.55,6.4,639.74,onion
106.0,54.97,51.76,29.96,68.12,6.41,663.33,chilli
125.97,68.79,53.79,26.31,51.4,6.09,586.62,tomato
114.15,55.06,32.68,22.58,50.42,6.94,543.7,wheat
55.41,35.35,40.15,26.97,61.58,7.14,904.95,mango
74.19,41.83,36.22,26.65,53.9,6.62,732.01,cotton
167.27,50.41,172.97,32.32,78.96,6.83,1176.03,banana
75.35,42.02,55.93,30.77,62.27,6.56,915.74,mango
13.42,44.65,52.23,25.67,68.55,6.11,650.77,groundnut
153.67,91.22,132.93,25.79,69.39,5.38,466.19,potato
72.93,38.98,41.74,21.44,63.92,6.73,680.72,cotton
24.55,45.32,43.83,26.03,64.81,6.67,681.88,groundnut
96.86,65.98,74.45,25.02,66.12,6.08,599.5,tomato
97.5,61.87,39.07,17.06,50.23,7.4,667.88,wheat
77.63,41.36,43.01,38.34,70.83,6.17,1277.46,rice
96.87,31.74,38.12,26.83,58.98,6.39,658.81,cotton
32.46,57.55,40.12,22.39,73.38,6.35,612.88,soybean
73.6,37.1,39.4,21.61,43.26,5.62,757.12,wheat
29.14,39.5,61.24,25.35,68.67,6.54,502.99,groundnut
70.51,52.42,60.57,24.31,77.17,6.2,1578.65,turmeric
127.61,62.6,58.2,39.55,78.34,7.15,1620.79,sugarcane
100.83,54.3,41.0,21.69,56.4,6.48,889.04,wheat
31.96,48.77,25.84,14.65,50.96,7.48,418.36,chickpea
124.6,53.14,60.4,23.86,72.71,6.08,1361.55,sugarcane
112.5,45.56,43.91,34.25,69.49,6.52,620.15,maize
160.94,57.88,168.27,25.71,82.63,7.25,1190.81,banana
24.67,67.52,38.85,29.85,73.76,6.48,619.8,soybean
111.33,65.24,61.54,31.28,66.98,6.73,763.66,chilli
81.54,33.79,45.34,23.26,55.49,6.42,579.27,maize
70.91,34.68,24.99,25.72,52.74,7.31,632.66,cotton
163.47,37.96,199.94,34.91,78.61,6.47,1410.79,banana
23.91,43.79,32.17,22.8,46.07,7.16,433.56,chickpea
103.11,45.59,38.64,22.08,52.12,6.62,631.56,maize
139.06,53.12,203.12,28.37,85.85,6.55,1096.13,banana
82.9,60.57,47.94,27.11,90.01,5.9,1192.38,rice
62.76,34.17,32.71,27.72,55.22,7.37,671.18,cotton
91.12,73.56,78.31,23.24,70.24,6.84,625.75,tomato
80.76,38.1,38.76,27.99,72.79,6.5,693.58,cotton
96.28,42.16,41.23,26.03,76.16,5.84,1355.21,rice
40.7,59.3,40.43,23.5,69.83,6.27,595.6,soybean
94.4,65.81,72.03,24.17,76.31,6.42,625.38,chilli
59.71,37.19,55.71,28.26,63.46,7.16,689.52,mango
81.55,40.21,38.85,26.77,56.69,6.44,798.79,cotton
80.89,46.48,38.64,27.16,86.35,6.3,1572.11,rice
81.05,55.7,75.13,19.82,58.83,6.25,687.37,onion
87.26,57.34,91.03,23.75,68.11,6.58,674.83,onion
83.46,52.49,24.4,37.38,81.63,6.28,1392.02,rice
59.62,46.19,37.71,24.71,72.43,6.87,593.62,maize
100.44,58.44,29.46,15.31,54.77,6.41,606.35,wheat
95.38,68.29,89.63,17.8,67.19,6.89,561.97,onion
102.28,36.16,58.75,24.03,62.77,6.39,539.04,chilli
56.34,33.83,52.76,30.68,48.62,7.0,849.22,mango
132.06,66.34,167.63,27.44,89.93,7.07,1527.02,banana
82.94,49.01,67.1,27.45,70.72,6.99,1195.05,turmeric
40.66,57.49,33.17,19.05,45.26,6.79,445.82,chickpea
109.59,45.69,62.71,20.48,69.21,7.04,516.51,chilli
127.46,45.35,33.49,34.89,55.11,6.51,586.23,maize
39.81,44.64,43.02,30.42,58.83,5.56,1008.77,mango
60.34,27.73,38.51,34.05,50.93,6.74,769.45,mango
68.82,47.2,77.79,21.84,61.93,6.57,660.26,onion
63.08,41.56,45.25,30.02,69.5,6.85,926.58,mango
28.54,52.03,57.11,27.23,70.95,6.9,659.65,groundnut
85.21,52.16,68.51,22.77,61.74,6.63,794.59,onion
30.94,53.8,36.99,26.5,42.01,6.02,380.43,chickpea
24.93,51.28,46.15,24.42,60.38,6.67,603.29,groundnut
124.12,55.21,64.21,24.43,81.4,7.36,1474.08,sugarcane
106.28,45.29,34.48,24.14,63.74,6.8,660.91,maize
80.58,50.09,88.16,17.83,66.6,6.17,663.9,onion
36.41,54.01,42.45,24.33,45.67,7.12,430.71,chickpea
74.98,61.25,72.4,26.13,78.09,7.03,1298.98,turmeric
26.34,48.41,43.1,25.03,63.0,6.52,621.46,soybean
115.31,46.84,42.04,22.8,74.65,6.37,592.35,maize
65.96,52.63,50.97,27.99,76.11,6.35,568.35,chilli
84.77,51.74,71.77,29.83,74.88,6.92,1339.29,turmeric
139.18,71.63,126.77,24.36,65.03,6.13,533.99,potato
139.49,45.68,37.31,24.6,75.98,7.72,1581.49,sugarcane
18.2,43.85,54.52,25.29,70.03,7.09,649.23,groundnut
55.88,28.07,36.13,33.12,66.54,6.69,816.64,mango
93.8,84.15,62.91,24.42,54.55,6.38,591.67,tomato
45.21,38.96,37.45,31.08,56.39,6.2,917.34,mango
25.06,53.23,42.48,26.99,59.07,6.52,659.94,soybean
83.58,49.25,67.46,29.27,72.62,5.88,1189.98,turmeric
154.7,62.7,112.88,21.68,74.19,5.85,533.37,potato
79.18,46.04,42.7,27.79,54.32,7.46,534.93,maize
84.82,46.86,70.83,21.4,61.59,6.54,631.55,onion
116.76,55.62,42.73,8.56,60.59,6.8,742.83,wheat
142.13,62.49,191.26,24.55,82.65,6.32,1272.95,banana
83.11,56.07,47.86,27.82,82.38,5.75,1596.3,rice
118.47,67.27,41.12,17.76,56.44,7.65,490.06,wheat
23.26,47.97,50.07,18.65,58.28,7.29,371.03,chickpea
77.66,43.07,80.59,20.32,67.85,6.49,622.05,onion
29.11,58.76,33.9,25.99,69.43,6.52,638.8,soybean
24.22,54.08,45.11,31.9,53.44,6.84,368.99,chickpea
130.99,44.97,176.0,33.18,82.3,6.46,1489.47,banana
142.28,43.2,184.33,25.64,88.96,6.84,1309.15,banana
30.19,51.76,52.35,29.87,55.63,6.64,656.63,groundnut
78.56,41.47,61.96,31.53,72.0,5.64,1118.06,turmeric
94.31,58.55,44.32,21.09,49.07,6.76,563.5,wheat
93.01,53.33,93.18,28.37,86.24,6.29,1383.48,turmeric
94.26,50.19,84.26,25.25,58.79,6.24,649.16,onion
19.45,52.61,47.29,27.67,60.77,6.67,651.41,soybean
34.18,49.19,51.05,29.24,68.31,5.83,579.58,groundnut
88.1,30.81,41.79,26.61,41.31,7.33,588.31,cotton
109.59,48.86,91.74,26.44,67.78,6.33,688.46,onion
34.95,48.35,47.36,26.63,70.39,6.33,739.81,soybean
77.71,44.67,32.93,30.69,86.08,5.98,1824.87,rice
78.79,31.54,39.77,23.89,52.55,7.58,890.06,cotton
31.92,55.32,50.15,19.52,60.76,6.09,420.97,chickpea
76.45,51.87,72.64,28.08,67.53,6.54,704.09,onion
99.54,68.2,68.94,22.03,61.49,6.25,676.93,onion
116.06,60.37,43.92,16.28,59.44,7.01,730.74,wheat
124.18,77.16,140.86,21.93,75.83,5.83,478.29,potato
96.67,40.65,51.91,24.45,66.17,6.34,715.73,cotton
110.04,75.78,85.03,19.26,68.6,6.43,566.2,tomato
96.31,51.4,67.82,21.85,64.52,6.7,650.57,onion
40.65,22.38,58.86,30.95,56.07,6.48,768.69,mango
141.48,59.2,187.63,24.14,86.87,6.72,890.91,banana
74.96,44.39,44.67,26.43,78.28,6.01,1382.55,rice
18.94,68.85,58.93,27.0,57.32,6.46,606.29,groundnut
87.75,38.05,42.13,15.75,76.1,5.94,1350.44,rice
76.2,47.11,72.68,30.86,72.98,5.58,1121.61,turmeric
122.56,76.37,121.4,18.36,81.25,6.09,505.5,potato
88.46,45.13,44.26,9.5,62.59,6.69,1000.0,wheat
18.95,58.65,52.95,25.48,74.69,6.48,645.92,soybean
85.69,52.24,99.57,21.17,72.22,6.57,632.63,onion
35.01,39.14,38.47,23.58,23.0,7.25,417.68,chickpea
21.94,54.98,65.81,29.61,67.83,6.54,576.53,soybean
79.72,52.98,71.38,32.75,74.03,6.12,1336.96,turmeric
34.3,50.59,42.03,20.54,40.44,6.73,413.68,chickpea
126.07,46.63,34.6,20.88,68.51,7.39,559.54,maize
93.46,45.76,39.41,25.32,74.32,6.56,483.86,maize
56.63,29.43,67.5,28.08,60.8,6.3,882.23,mango
61.18,40.88,43.08,29.18,76.08,6.32,1426.77,rice
146.68,58.48,48.32,28.37,90.11,6.79,1450.9,sugarcane
79.15,61.94,69.87,27.7,80.59,6.35,1459.69,turmeric
79.19,65.85,31.01,20.26,70.51,5.46,560.3,maize
82.98,39.57,42.19,30.13,57.51,7.16,747.99,cotton
86.79,30.78,39.6,26.4,67.85,7.39,650.43,cotton
98.52,53.15,39.58,16.28,61.26,7.1,524.53,maize
70.78,57.12,40.49,33.67,92.01,6.25,1513.68,rice
81.37,42.26,43.65,22.77,76.43,6.3,1468.62,rice
32.33,63.36,51.73,27.2,74.29,6.57,638.1,soybean
85.63,52.49,83.14,34.13,71.46,6.26,1121.11,turmeric
128.14,86.16,120.36,21.2,72.92,5.59,509.51,potato
158.0,47.84,175.91,30.14,80.14,6.63,1169.56,banana
104.64,47.49,59.4,20.51,67.7,6.81,655.27,chilli
69.14,50.1,35.32,31.33,85.39,5.57,1464.49,rice
30.33,45.3,41.14,27.48,71.26,6.85,598.79,soybean
91.94,54.63,60.46,25.57,61.65,6.58,646.66,chilli
113.95,64.11,152.22,28.04,80.43,6.18,992.5,banana
97.55,29.39,53.1,29.4,81.9,5.86,1679.83,rice
132.56,51.89,67.05,30.06,77.85,7.33,1599.35,sugarcane
103.16,58.1,72.93,27.64,75.52,6.28,1231.57,turmeric
104.34,41.37,37.21,24.94,70.12,6.8,561.24,maize
85.79,58.11,58.04,23.62,82.36,6.25,676.5,chilli
99.23,53.27,49.87,18.23,51.02,6.93,589.77,wheat
109.09,51.6,66.13,21.76,64.49,6.79,590.96,onion
102.69,32.04,36.8,26.42,51.24,6.84,810.77,cotton
30.83,61.37,45.73,13.79,40.71,7.22,407.09,chickpea
86.51,44.03,41.15,26.48,49.43,7.14,550.79,cotton
17.85,52.61,52.12,24.66,66.12,6.13,550.94,groundnut
84.63,64.78,39.39,23.65,48.46,7.19,490.92,maize
73.98,39.37,42.45,19.83,72.93,6.23,550.71,maize
139.18,50.46,193.0,28.28,78.32,6.77,1155.96,banana
80.85,55.93,69.76,29.83,75.71,5.9,1151.27,turmeric
111.9,50.9,94.54,15.42,72.59,6.86,506.96,onion
139.22,55.49,208.82,24.57,89.18,6.32,1081.92,banana
126.91,81.23,117.91,18.36,73.48,5.66,586.21,potato
102.79,74.05,42.25,12.23,53.99,6.94,867.34,wheat
89.82,36.59,37.14,24.82,66.2,6.83,510.06,maize
22.74,37.91,48.9,28.55,52.23,6.49,621.09,groundnut
105.77,64.99,75.49,23.93,69.06,6.4,773.57,chilli
43.85,42.35,41.83,29.26,49.39,6.64,871.57,mango
86.13,40.23,33.97,31.55,58.62,7.72,602.32,maize
61.25,39.21,59.39,29.25,48.88,6.67,918.73,mango
21.39,68.79,57.54,22.81,67.96,6.93,742.47,soybean
90.07,37.6,31.33,20.1,63.23,7.09,638.18,cotton
71.19,43.68,35.12,30.11,70.51,6.4,643.41,cotton
87.04,44.26,74.62,33.13,73.31,6.18,1240.04,turmeric
130.27,61.65,42.11,18.41,52.79,7.26,679.96,wheat
87.94,57.38,76.62,26.39,71.6,6.74,1233.45,turmeric
28.74,52.94,42.58,27.08,61.74,6.32,534.24,groundnut
91.48,50.69,63.44,21.91,72.51,6.35,805.03,chilli
31.27,56.73,47.99,25.86,81.2,7.14,602.06,soybean
100.02,61.47,62.87,28.54,70.67,6.66,683.16,chilli
139.34,61.18,40.2,27.14,83.44,6.85,1320.52,sugarcane
29.18,45.96,40.12,26.23,63.01,7.01,502.88,groundnut
118.78,54.06,55.78,34.44,74.53,6.45,1791.39,sugarcane
77.0,40.68,33.04,28.79,59.25,7.11,654.03,cotton
126.51,62.96,45.83,18.86,68.21,6.75,581.81,wheat
89.4,64.18,66.63,29.55,88.77,6.79,1395.53,turmeric
89.43,51.14,44.42,26.45,57.77,5.53,465.2,maize
91.95,33.58,39.01,30.1,92.28,5.98,1488.96,rice
56.89,30.47,33.87,27.99,58.91,6.94,740.81,cotton
34.98,56.67,35.62,25.21,69.49,6.42,645.43,soybean
112.7,52.22,30.0,26.34,76.99,6.96,1459.7,sugarcane
72.61,45.81,27.03,25.18,72.58,6.78,568.51,cotton
85.16,52.22,77.3,23.14,75.55,6.02,1340.2,turmeric
87.18,51.3,32.34,23.27,49.92,5.84,687.98,maize
163.28,85.77,131.34,17.72,68.87,5.0,483.93,potato
89.43,52.61,64.79,23.25,68.83,6.32,565.26,onion
37.03,41.79,40.29,27.18,67.68,6.06,957.99,mango
106.21,62.72,47.48,17.56,47.69,6.99,701.94,wheat
140.09,57.21,53.53,26.17,68.5,6.43,1794.31,sugarcane
126.38,52.27,195.86,25.49,92.87,6.98,1274.75,banana
101.23,55.54,191.63,26.37,77.65,7.22,1328.98,banana
126.0,39.81,175.08,19.48,81.02,7.3,1136.84,banana
34.46,40.78,47.56,29.99,55.04,6.87,519.94,groundnut
76.66,55.28,57.02,28.02,64.49,6.8,593.98,chilli
112.14,79.62,79.53,20.57,64.21,6.07,609.98,tomato
101.28,43.41,75.07,22.52,59.38,5.79,685.54,chilli
97.84,33.45,39.77,26.22,61.37,7.45,577.3,cotton
132.04,57.71,47.78,20.7,72.38,7.29,1550.14,sugarcane
63.07,44.26,36.32,23.81,83.62,6.35,1783.66,rice
129.84,87.05,136.93,18.81,70.8,5.88,494.58,potato
115.46,59.7,153.44,34.72,80.39,6.43,1214.63,banana
109.08,58.75,39.16,22.08,48.42,7.39,525.24,wheat
129.57,49.63,59.55,18.49,80.18,6.7,1449.57,sugarcane
87.69,43.79,40.24,21.91,65.99,6.31,492.47,maize
111.24,49.54,53.43,21.4,49.45,6.25,661.43,wheat
105.67,65.98,68.03,23.2,59.23,6.36,535.99,tomato
36.43,47.34,39.38,22.83,52.25,6.87,455.28,chickpea
38.76,50.03,54.05,24.88,58.63,6.59,741.95,groundnut
83.95,54.2,67.7,27.06,64.47,6.58,669.05,onion
29.83,49.97,53.2,29.95,68.66,6.52,713.71,soybean
77.08,33.28,48.02,28.17,81.37,6.75,1659.75,rice
57.18,41.64,36.64,29.68,44.94,6.91,895.37,mango
68.27,31.96,32.18,25.45,56.39,7.12,786.57,cotton
141.22,101.56,130.07,19.06,76.85,5.16,502.32,potato
37.61,43.52,47.55,28.36,48.43,6.72,910.7,mango
99.68,65.19,162.05,23.5,85.06,6.95,1509.78,banana
74.9,50.5,82.97,21.38,64.89,6.43,540.98,onion
75.94,47.25,62.71,33.23,79.58,6.04,1346.92,turmeric
43.93,39.02,48.11,30.46,59.27,6.53,845.59,mango
87.52,50.93,36.82,34.46,73.74,6.15,2038.09,rice
54.46,22.0,41.13,29.4,61.6,6.43,864.34,mango
39.95,47.55,48.13,26.6,64.22,6.35,382.94,groundnut
148.24,49.61,58.69,31.08,74.78,6.92,1583.31,sugarcane
72.39,53.34,37.06,25.3,62.91,6.89,623.95,maize
27.61,46.35,39.25,16.65,33.49,7.77,331.83,chickpea
106.09,38.6,43.53,27.47,78.89,6.29,506.4,maize
119.07,54.13,63.74,28.33,70.71,6.71,588.63,chilli
112.0,43.61,166.29,30.3,70.01,7.06,1299.01,banana
81.97,43.51,31.34,25.29,52.44,7.04,591.21,cotton
22.28,46.22,50.54,27.62,59.38,6.7,644.28,groundnut
104.39,50.62,90.0,24.64,84.67,6.53,1576.36,sugarcane
21.0,51.17,50.27,25.1,66.99,6.98,704.83,soybean
50.42,26.03,44.84,27.65,59.1,6.58,882.18,mango
109.16,80.03,65.45,22.78,61.57,6.42,570.56,tomato
91.33,56.75,38.7,13.7,44.95,6.91,631.86,wheat
127.69,62.35,212.67,28.36,78.88,7.37,1240.68,banana
122.72,71.76,70.35,23.64,66.75,6.23,631.95,tomato
107.28,38.67,43.62,22.86,43.94,6.53,732.91,wheat
31.24,56.19,54.85,20.99,67.02,6.31,715.23,soybean
24.54,35.79,58.46,27.28,55.4,6.86,547.4,groundnut
98.95,78.52,58.28,23.03,69.79,6.58,691.22,tomato
85.61,51.81,98.92,19.61,79.69,6.38,793.42,onion
36.94,54.39,58.42,23.58,55.51,5.95,561.41,soybean
102.63,68.24,54.2,26.91,73.78,6.27,663.35,chilli
77.46,56.98,76.98,32.57,77.77,6.39,1243.1,turmeric
82.9,67.07,42.03,33.29,75.47,6.62,593.84,maize
96.78,52.88,60.29,26.65,62.83,6.15,750.39,chilli
60.29,29.79,50.95,32.84,64.64,6.65,1021.1,mango
80.05,43.24,33.65,26.71,80.36,5.8,1567.74,rice
93.44,41.05,87.06,19.58,66.34,5.91,762.02,onion
157.57,79.88,128.62,16.32,80.76,5.83,556.94,potato
115.46,57.02,55.82,25.11,62.72,6.25,545.8,chilli
20.31,53.58,51.08,17.18,49.72,6.18,409.02,chickpea
89.77,56.47,59.28,27.49,73.75,6.59,717.36,chilli
75.56,51.46,33.17,31.59,66.33,7.16,632.95,cotton
107.31,55.58,55.28,24.08,55.11,6.79,728.82,chilli
129.31,51.71,62.82,36.11,78.99,7.56,1365.31,sugarcane
29.88,49.46,42.6,27.06,70.74,6.54,486.95,groundnut
72.07,44.2,36.03,26.15,75.01,6.49,1607.05,rice
130.05,58.54,64.9,25.83,64.3,6.62,638.63,tomato
79.38,43.42,71.7,29.77,71.54,6.37,1137.2,turmeric
115.83,67.66,51.44,22.32,73.61,6.56,691.38,chilli
22.7,49.93,34.48,28.38,53.56,6.43,561.64,soybean
104.63,55.59,58.24,29.52,59.45,6.51,577.7,chilli
21.14,48.37,47.44,28.82,48.71,6.32,545.59,groundnut
41.3,44.56,56.13,14.98,53.13,6.48,356.45,chickpea
79.7,32.71,42.09,22.62,64.24,7.34,612.04,cotton
48.62,29.72,38.03,30.54,55.2,6.26,1038.58,mango
137.19,59.05,66.13,28.63,75.5,6.81,1673.52,sugarcane
147.19,76.0,137.67,19.56,64.47,4.62,486.56,potato
141.18,66.12,33.94,29.5,66.65,7.67,1429.78,sugarcane
134.19,80.96,124.3,21.44,66.68,5.24,474.99,potato
81.09,50.44,45.51,29.45,77.56,6.12,1976.4,rice
32.39,44.22,41.82,30.59,64.73,6.16,502.98,groundnut
43.4,47.53,47.61,29.68,70.1,6.69,966.79,mango
76.45,33.09,35.87,22.79,60.65,7.62,713.55,cotton
32.58,48.3,45.27,29.78,75.45,6.53,670.45,groundnut
93.57,33.51,36.52,30.4,55.19,6.72,759.17,cotton
83.6,69.19,66.76,25.15,53.59,6.4,625.72,tomato
89.77,68.23,74.05,20.66,63.45,6.57,607.36,onion
170.75,50.24,176.99,31.13,86.4,6.71,1092.19,banana
104.35,61.1,62.51,24.86,70.63,6.43,717.58,chilli
155.28,51.75,201.05,26.92,73.94,7.19,1085.58,banana
116.42,42.24,38.99,16.26,67.56,6.65,479.88,wheat
144.66,56.35,59.51,27.87,76.19,6.98,1555.08,sugarcane
124.95,51.5,46.5,16.79,57.43,6.32,708.52,wheat
18.09,66.06,44.87,26.34,59.82,6.23,744.38,groundnut
30.1,56.89,53.29,23.31,64.46,6.33,625.09,soybean
68.62,43.49,42.46,31.04,86.68,5.82,1616.4,rice
60.37,38.56,36.14,35.19,58.42,5.83,858.64,mango
113.08,59.35,200.68,23.94,81.02,6.82,1321.31,banana
27.36,47.17,41.2,28.65,32.4,6.85,504.36,chickpea
19.89,55.97,48.62,26.55,62.42,6.92,650.97,soybean
93.58,65.61,58.22,19.82,58.58,6.47,657.85,tomato
